epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,668.603,1.00022,1.14391,1.29822,0.33482,0.66667,0.42779,0.20479,1.43277,2.02327,1.68504,0.0008912,0.0008912,0.0008912
58,677.475,1.00089,1.21776,1.33394,0.36838,0.62963,0.38794,0.19868,1.38189,2.0262,1.65771,0.0008714,0.0008714,0.0008714
59,686.44,0.9889,1.10557,1.29009,0.37097,0.48148,0.39726,0.20945,1.41594,1.99361,1.66525,0.0008516,0.0008516,0.0008516
60,697.276,1.02762,1.15137,1.33835,0.3681,0.59259,0.44978,0.21239,1.41685,2.0389,1.65654,0.0008318,0.0008318,0.0008318
61,710.432,1.00098,1.16507,1.33992,0.41883,0.69414,0.52154,0.21896,1.38705,2.07718,1.60412,0.000812,0.000812,0.000812
62,721.82,0.97217,1.14672,1.33819,0.44158,0.76169,0.57028,0.22936,1.37739,2.10139,1.62351,0.0007922,0.0007922,0.0007922
63,733.165,0.94983,1.20943,1.29589,0.442,0.81481,0.60082,0.23482,1.39764,2.05595,1.66009,0.0007724,0.0007724,0.0007724
64,744.335,0.98375,1.16716,1.28906,0.47821,0.55556,0.58633,0.22231,1.38822,2.07406,1.66166,0.0007526,0.0007526,0.0007526
65,755.89,1.01013,1.11793,1.31007,0.44993,0.62963,0.56234,0.23473,1.38542,1.99976,1.66476,0.0007328,0.0007328,0.0007328
66,765.49,0.97652,1.06792,1.27854,0.54728,0.62689,0.61216,0.26224,1.3626,1.9731,1.62786,0.000713,0.000713,0.000713
67,778.246,0.90628,1.07526,1.22345,0.63829,0.51852,0.55918,0.2313,1.35795,2.06422,1.61408,0.0006932,0.0006932,0.0006932
68,826.217,0.93933,1.10994,1.28147,0.58441,0.48148,0.48994,0.21158,1.32415,2.0892,1.60396,0.0006734,0.0006734,0.0006734
69,911.611,0.87553,1.15649,1.25129,0.47874,0.51852,0.46202,0.18837,1.33098,2.16779,1.62787,0.0006536,0.0006536,0.0006536
70,1011.53,0.97181,1.05735,1.27089,0.48653,0.7037,0.49717,0.1876,1.33099,2.2058,1.61645,0.0006338,0.0006338,0.0006338
71,1074.19,0.86974,1.01177,1.24349,0.52102,0.56426,0.50552,0.17911,1.33559,2.16669,1.59445,0.000614,0.000614,0.000614
72,1131.1,0.87505,1.06165,1.25509,0.61214,0.58478,0.51798,0.19732,1.36411,2.00771,1.59111,0.0005942,0.0005942,0.0005942
73,1188.11,0.85377,0.98886,1.19528,0.56919,0.66667,0.53534,0.231,1.33576,1.93967,1.56268,0.0005744,0.0005744,0.0005744
74,1244.13,0.8723,1.09292,1.23609,0.5133,0.59259,0.52879,0.25843,1.30043,1.91328,1.53009,0.0005546,0.0005546,0.0005546
75,1372.83,0.85509,1.04237,1.20288,0.58791,0.7037,0.63341,0.29142,1.29396,1.89517,1.55168,0.0005348,0.0005348,0.0005348
76,1551.48,0.93666,0.97202,1.25144,0.57982,0.7037,0.64,0.2835,1.35942,1.91505,1.64399,0.000515,0.000515,0.000515
77,1798.63,0.92064,1.05849,1.25049,0.55266,0.68664,0.62501,0.26638,1.43678,1.92757,1.69635,0.0004952,0.0004952,0.0004952
78,1937.32,0.94951,1.06597,1.27525,0.59211,0.7037,0.62904,0.26338,1.51869,1.92157,1.77074,0.0004754,0.0004754,0.0004754
79,1960.38,0.9368,0.99746,1.26342,0.59801,0.66667,0.63299,0.26537,1.52376,1.88318,1.79059,0.0004556,0.0004556,0.0004556
80,1977.29,0.88729,1.03574,1.24216,0.58977,0.6392,0.63111,0.26303,1.4484,1.92329,1.73681,0.0004358,0.0004358,0.0004358
81,2021.75,0.90071,1.0252,1.23199,0.52495,0.69593,0.61013,0.26523,1.43945,1.8464,1.71696,0.000416,0.000416,0.000416
82,2054.4,0.90506,0.94768,1.26181,0.5219,0.7037,0.62674,0.27457,1.43359,1.7872,1.70566,0.0003962,0.0003962,0.0003962
83,2073.84,0.87475,0.94547,1.17366,0.58629,0.73496,0.6302,0.27914,1.44753,1.74325,1.71357,0.0003764,0.0003764,0.0003764
84,2092.4,0.84169,0.91651,1.20907,0.65567,0.59259,0.64461,0.29034,1.42489,1.75956,1.67834,0.0003566,0.0003566,0.0003566
85,2108.04,0.82542,0.95179,1.16513,0.58696,0.62963,0.64319,0.30223,1.38971,1.78798,1.65391,0.0003368,0.0003368,0.0003368
86,2123.23,0.85172,0.9622,1.2358,0.63949,0.66667,0.67099,0.30051,1.3929,1.77729,1.65738,0.000317,0.000317,0.000317
87,2138.9,0.86575,0.93138,1.23062,0.64432,0.60415,0.6659,0.30202,1.41517,1.79674,1.68578,0.0002972,0.0002972,0.0002972
88,2154.07,0.82457,0.91503,1.17031,0.69874,0.51556,0.64517,0.28615,1.40212,1.90168,1.67576,0.0002774,0.0002774,0.0002774
89,2169.84,0.81864,0.91305,1.16913,0.70497,0.48148,0.60949,0.26155,1.4078,1.96002,1.68625,0.0002576,0.0002576,0.0002576
90,2186.14,0.80083,0.92845,1.17873,0.64496,0.51852,0.6188,0.27046,1.37587,2.00672,1.65716,0.0002378,0.0002378,0.0002378
91,2202.73,0.81036,1.18906,1.17921,0.77258,0.51852,0.62053,0.28975,1.35829,2.02328,1.63082,0.000218,0.000218,0.000218
92,2219.71,0.76396,1.26145,1.09063,0.82289,0.51637,0.60842,0.27655,1.35261,2.03704,1.61625,0.0001982,0.0001982,0.0001982
93,2235.88,0.7748,1.14898,1.11384,0.82069,0.51852,0.59911,0.27043,1.34971,2.04985,1.62205,0.0001784,0.0001784,0.0001784
94,2251.77,0.78345,1.04276,1.15669,0.81156,0.51852,0.60322,0.27986,1.33475,2.08293,1.60794,0.0001586,0.0001586,0.0001586
95,2266.79,0.80759,1.08369,1.15122,0.80143,0.51852,0.60297,0.27625,1.31615,2.09543,1.58076,0.0001388,0.0001388,0.0001388
96,2281.98,0.79289,1.07339,1.19144,0.78715,0.51852,0.62793,0.29064,1.29978,2.12401,1.56878,0.000119,0.000119,0.000119
97,2298.5,0.80736,1.24638,1.19499,0.80976,0.48148,0.62561,0.30184,1.28362,2.10715,1.54737,9.92e-05,9.92e-05,9.92e-05
98,2314.73,0.78174,1.03386,1.16839,0.85198,0.48148,0.65726,0.31989,1.27916,2.11455,1.55142,7.94e-05,7.94e-05,7.94e-05
99,2329.61,0.78182,1.04315,1.11542,0.79389,0.48148,0.64912,0.3163,1.25705,2.09266,1.53632,5.96e-05,5.96e-05,5.96e-05
100,2343.8,0.76657,1.00119,1.1138,0.79446,0.48148,0.67131,0.31962,1.25757,2.04055,1.53703,3.98e-05,3.98e-05,3.98e-05
